Sample	Unique Reads	Duplicate Reads
54087_ID1725_24-B-48S_S30_L001_R2.trmdfilt	13652827.0	6258969.0
54088_ID1725_26-B-51S_S31_L001_R1.trmdfilt	12233864.0	5732737.0
54088_ID1725_26-B-51S_S31_L001_R2.trmdfilt	12014567.0	5952034.0
54089_ID1725_40-B-74S_S32_L001_R1.trmdfilt	12767153.0	9691631.0
54089_ID1725_40-B-74S_S32_L001_R2.trmdfilt	13262542.0	9196242.0
54090_ID1725_43-B-79S_S33_L001_R1.trmdfilt	14366837.0	12830929.0
54090_ID1725_43-B-79S_S33_L001_R2.trmdfilt	15050345.0	12147421.0
54091_ID1725_46-B-87S_S34_L001_R1.trmdfilt	12909338.0	7149080.0
54091_ID1725_46-B-87S_S34_L001_R2.trmdfilt	13112560.0	6945858.0
54092_ID1725_47-B-88A_S35_L001_R1.trmdfilt	12765247.0	7450182.0
54092_ID1725_47-B-88A_S35_L001_R2.trmdfilt	12980468.0	7234961.0
54093_ID1725_55-B-107S_S36_L001_R1.trmdfilt	18430584.0	2901888.0
54093_ID1725_55-B-107S_S36_L001_R2.trmdfilt	17956628.0	3375844.0
54094_ID1725_57-B-110S_S37_L001_R1.trmdfilt	21876529.0	4335254.0
54094_ID1725_57-B-110S_S37_L001_R2.trmdfilt	22079887.0	4131896.0
54095_ID1725_59-B-129S_S38_L001_R1.trmdfilt	10678460.0	5256574.0
54095_ID1725_59-B-129S_S38_L001_R2.trmdfilt	10821167.0	5113867.0
54096_ID1725_60-B-130S_S39_L001_R1.trmdfilt	13932873.0	8038097.0
54096_ID1725_60-B-130S_S39_L001_R2.trmdfilt	14267366.0	7703604.0
54097_ID1725_13-B-34S_S40_L001_R1.trmdfilt	11328399.0	14864109.0
54097_ID1725_13-B-34S_S40_L001_R2.trmdfilt	11711405.0	14481103.0
54098_ID1725_17-B-39S_S41_L001_R1.trmdfilt	12137390.0	8024331.0
54098_ID1725_17-B-39S_S41_L001_R2.trmdfilt	12400895.0	7760826.0
54099_ID1725_18-B-40S_S42_L001_R1.trmdfilt	12117905.0	6873765.0
54099_ID1725_18-B-40S_S42_L001_R2.trmdfilt	12530376.0	6461294.0
54100_ID1725_19-B-41S_S43_L001_R1.trmdfilt	11075299.0	7625248.0
54100_ID1725_19-B-41S_S43_L001_R2.trmdfilt	11357786.0	7342761.0
