Sample	Unique Reads	Duplicate Reads
70400_ID2138_96_ZU19_044_B_S170_L001_R1.trmdfilt	16385386.0	10299901.0
70400_ID2138_96_ZU19_044_B_S170_L001_R2.trmdfilt	16167775.0	10517512.0
70401_ID2138_97_ZU19_096_A_S171_L001_R1.trmdfilt	17270360.0	11070942.0
70401_ID2138_97_ZU19_096_A_S171_L001_R2.trmdfilt	17839218.0	10502084.0
70402_ID2138_98_BO21_532_S_S172_L001_R1.trmdfilt	13411684.0	14333772.0
70402_ID2138_98_BO21_532_S_S172_L001_R2.trmdfilt	14310253.0	13435203.0
70403_ID2138_99_BO17_249_S_S173_L001_R1.trmdfilt	25021100.0	18024284.0
70403_ID2138_99_BO17_249_S_S173_L001_R2.trmdfilt	25524701.0	17520683.0
70404_ID2138_100_BO17_260_S_S174_L001_R1.trmdfilt	13624160.0	6026448.0
70404_ID2138_100_BO17_260_S_S174_L001_R2.trmdfilt	13646486.0	6004122.0
70405_ID2138_101_BO17_266_S_S175_L001_R1.trmdfilt	17067748.0	9978013.0
70405_ID2138_101_BO17_266_S_S175_L001_R2.trmdfilt	17636472.0	9409289.0
70406_ID2138_102_BO17_273_S_S176_L001_R1.trmdfilt	23123108.0	15647043.0
70406_ID2138_102_BO17_273_S_S176_L001_R2.trmdfilt	23738468.0	15031683.0
70407_ID2138_103_BO17_276_S_S177_L001_R1.trmdfilt	25820568.0	20052732.0
70407_ID2138_103_BO17_276_S_S177_L001_R2.trmdfilt	26611689.0	19261611.0
70408_ID2138_104_BO17_277_S_S178_L001_R1.trmdfilt	19156785.0	11798025.0
70408_ID2138_104_BO17_277_S_S178_L001_R2.trmdfilt	19608655.0	11346155.0
70409_ID2138_105_BO17_279_S_S179_L001_R1.trmdfilt	19380528.0	14034997.0
70409_ID2138_105_BO17_279_S_S179_L001_R2.trmdfilt	20036540.0	13378985.0
70410_ID2138_106_BO17_283_S_S180_L001_R1.trmdfilt	18746118.0	11231422.0
70410_ID2138_106_BO17_283_S_S180_L001_R2.trmdfilt	19380196.0	10597344.0
70411_ID2138_107_BO17_284_S_S181_L001_R1.trmdfilt	20490405.0	12585372.0
70411_ID2138_107_BO17_284_S_S181_L001_R2.trmdfilt	21261228.0	11814549.0
70412_ID2138_108_BO17_297_S_S182_L001_R1.trmdfilt	23570784.0	19254962.0
70412_ID2138_108_BO17_297_S_S182_L001_R2.trmdfilt	24589323.0	18236423.0
70413_ID2138_109_BO17_300_S_S183_L001_R1.trmdfilt	16516676.0	16999689.0
70413_ID2138_109_BO17_300_S_S183_L001_R2.trmdfilt	16554688.0	16961677.0
70414_ID2138_110_BO17_304_S_S184_L001_R1.trmdfilt	20826172.0	13507072.0
70414_ID2138_110_BO17_304_S_S184_L001_R2.trmdfilt	21569341.0	12763903.0
70415_ID2138_111_BO17_317_S_S185_L001_R1.trmdfilt	16583469.0	10234199.0
70415_ID2138_111_BO17_317_S_S185_L001_R2.trmdfilt	17157999.0	9659669.0
70416_ID2138_112_BO17_321_S_S186_L001_R1.trmdfilt	21941795.0	16848943.0
70416_ID2138_112_BO17_321_S_S186_L001_R2.trmdfilt	22901701.0	15889037.0
70417_ID2138_113_BO17_262_S_S187_L001_R1.trmdfilt	16426071.0	9798349.0
70417_ID2138_113_BO17_262_S_S187_L001_R2.trmdfilt	16907946.0	9316474.0
70418_ID2138_114_BO21_501_A_S188_L001_R1.trmdfilt	1.0	0.0
70418_ID2138_114_BO21_501_A_S188_L001_R2.trmdfilt	1.0	0.0
70419_ID2138_115_ZU19_033_A_S189_L001_R1.trmdfilt	14718327.0	22700560.0
70419_ID2138_115_ZU19_033_A_S189_L001_R2.trmdfilt	15640826.0	21778061.0
70420_ID2138_116_ZU19_92_B_S190_L001_R1.trmdfilt	15102897.0	9783603.0
70420_ID2138_116_ZU19_92_B_S190_L001_R2.trmdfilt	15578736.0	9307764.0
70421_ID2138_117_ZU19_046_B_S191_L001_R1.trmdfilt	22282452.0	9569237.0
70421_ID2138_117_ZU19_046_B_S191_L001_R2.trmdfilt	22248848.0	9602841.0
70422_ID2138_118_BO17_272_S_S43_L001_R1.trmdfilt	20413009.0	14366382.0
70422_ID2138_118_BO17_272_S_S43_L001_R2.trmdfilt	22209466.0	12569925.0
70423_ID2138_119_BO17_308_S_S44_L001_R1.trmdfilt	23846613.0	15505046.0
70423_ID2138_119_BO17_308_S_S44_L001_R2.trmdfilt	24203714.0	15147945.0
70424_ID2138_120_BO17_319_S_S45_L001_R1.trmdfilt	17594404.0	10702090.0
70424_ID2138_120_BO17_319_S_S45_L001_R2.trmdfilt	18095776.0	10200718.0
70425_ID2138_121_BO17_320_S_S46_L001_R1.trmdfilt	14663588.0	9019818.0
70425_ID2138_121_BO17_320_S_S46_L001_R2.trmdfilt	15369389.0	8314017.0
70426_ID2138_122_BO17_280_S_S47_L001_R1.trmdfilt	25026163.0	19335734.0
70426_ID2138_122_BO17_280_S_S47_L001_R2.trmdfilt	25518079.0	18843818.0
70427_ID2138_123_BO17_336_S_S48_L001_R1.trmdfilt	14248133.0	3496666.0
70427_ID2138_123_BO17_336_S_S48_L001_R2.trmdfilt	14443216.0	3301583.0
70428_ID2138_124_BO17_332_A_S49_L001_R1.trmdfilt	66441795.0	75482902.0
70428_ID2138_124_BO17_332_A_S49_L001_R2.trmdfilt	64865128.0	77059569.0
70429_ID2138_125_BO17_333_S_S50_L001_R1.trmdfilt	49434611.0	63645627.0
70429_ID2138_125_BO17_333_S_S50_L001_R2.trmdfilt	46824821.0	66255417.0
70430_ID2138_126_BO17_334_S_S51_L001_R1.trmdfilt	26913400.0	19943045.0
70430_ID2138_126_BO17_334_S_S51_L001_R2.trmdfilt	27527097.0	19329348.0
70431_ID2138_127_BO21_500_A_S52_L001_R1.trmdfilt	1.0	0.0
70431_ID2138_127_BO21_500_A_S52_L001_R2.trmdfilt	1.0	0.0
70432_ID2138_128_ZU19_40_S_S53_L001_R1.trmdfilt	15878275.0	20784138.0
70432_ID2138_128_ZU19_40_S_S53_L001_R2.trmdfilt	16915451.0	19746962.0
70433_ID2138_129_ZU19_008_S_S54_L001_R1.trmdfilt	8697759.0	5766165.0
70433_ID2138_129_ZU19_008_S_S54_L001_R2.trmdfilt	9067797.0	5396127.0
70434_ID2138_130_ZU19_035_A_S55_L001_R1.trmdfilt	18492090.0	37039901.0
70434_ID2138_130_ZU19_035_A_S55_L001_R2.trmdfilt	18893718.0	36638273.0
79051_ID2350_36-DL12_S4_L001_R1.trmdfilt	14578770.0	10236772.0
79051_ID2350_36-DL12_S4_L001_R2.trmdfilt	15581900.0	9233642.0
79052_ID2350_35-DL10_S5_L001_R1.trmdfilt	11953095.0	7672207.0
79052_ID2350_35-DL10_S5_L001_R2.trmdfilt	12124152.0	7501150.0
79053_ID2350_21-DL40_S6_L001_R1.trmdfilt	17041864.0	10723109.0
79053_ID2350_21-DL40_S6_L001_R2.trmdfilt	17261485.0	10503488.0
79054_ID2350_25-DL22_S7_L001_R1.trmdfilt	12267588.0	8163760.0
79054_ID2350_25-DL22_S7_L001_R2.trmdfilt	12807463.0	7623885.0
79055_ID2350_30-DL20_S8_L001_R1.trmdfilt	13779070.0	10104791.0
79055_ID2350_30-DL20_S8_L001_R2.trmdfilt	14896141.0	8987720.0
79056_ID2350_14-DL6_S9_L001_R1.trmdfilt	14053032.0	10882853.0
79056_ID2350_14-DL6_S9_L001_R2.trmdfilt	14878516.0	10057369.0
79057_ID2350_12-DL35_S10_L001_R1.trmdfilt	11999302.0	9558450.0
79057_ID2350_12-DL35_S10_L001_R2.trmdfilt	12525767.0	9031985.0
79058_ID2350_34-DC24_S11_L001_R1.trmdfilt	14171172.0	10120191.0
79058_ID2350_34-DC24_S11_L001_R2.trmdfilt	15623249.0	8668114.0
79059_ID2350_31-DC8_S12_L001_R1.trmdfilt	13166183.0	9921430.0
79059_ID2350_31-DC8_S12_L001_R2.trmdfilt	14451059.0	8636554.0
79060_ID2350_24-DC21_S13_L001_R1.trmdfilt	13129275.0	8827795.0
79060_ID2350_24-DC21_S13_L001_R2.trmdfilt	13592634.0	8364436.0
79061_ID2350_2-DC15_S14_L001_R1.trmdfilt	11536341.0	7277619.0
79061_ID2350_2-DC15_S14_L001_R2.trmdfilt	11870766.0	6943194.0
79062_ID2350_33-M6dl_S15_L001_R1.trmdfilt	13639630.0	10611782.0
79062_ID2350_33-M6dl_S15_L001_R2.trmdfilt	14025040.0	10226372.0
79063_ID2350_26-M9dl_S16_L001_R1.trmdfilt	13868936.0	10279434.0
79063_ID2350_26-M9dl_S16_L001_R2.trmdfilt	14675510.0	9472860.0
79064_ID2350_3-M7dl_S17_L001_R1.trmdfilt	11766489.0	9082193.0
79064_ID2350_3-M7dl_S17_L001_R2.trmdfilt	11965096.0	8883586.0
79065_ID2350_17-M13dl_S18_L001_R1.trmdfilt	16096100.0	11437150.0
79065_ID2350_17-M13dl_S18_L001_R2.trmdfilt	16676355.0	10856895.0
79066_ID2350_29-M3dl_S19_L001_R1.trmdfilt	16096608.0	10090456.0
79066_ID2350_29-M3dl_S19_L001_R2.trmdfilt	16275759.0	9911305.0
79067_ID2350_11-M2dl_S20_L001_R1.trmdfilt	11352477.0	8672309.0
79067_ID2350_11-M2dl_S20_L001_R2.trmdfilt	11708441.0	8316345.0
79068_ID2350_1-M16dl_S21_L001_R1.trmdfilt	12036098.0	9492602.0
79068_ID2350_1-M16dl_S21_L001_R2.trmdfilt	12383664.0	9145036.0
79069_ID2350_5-M20dl_S22_L001_R1.trmdfilt	10888515.0	7811691.0
79069_ID2350_5-M20dl_S22_L001_R2.trmdfilt	11451219.0	7248987.0
79070_ID2350_9-M15dl_S23_L001_R1.trmdfilt	11265667.0	7696871.0
79070_ID2350_9-M15dl_S23_L001_R2.trmdfilt	11581513.0	7381025.0
79071_ID2350_8-M12dl_S24_L001_R1.trmdfilt	12123481.0	7829809.0
79071_ID2350_8-M12dl_S24_L001_R2.trmdfilt	12101880.0	7851410.0
79072_ID2350_16-DL3_S25_L001_R1.trmdfilt	14498606.0	10360368.0
79072_ID2350_16-DL3_S25_L001_R2.trmdfilt	14975611.0	9883363.0
79073_ID2350_15-DL16_S26_L001_R1.trmdfilt	16342233.0	11081541.0
79073_ID2350_15-DL16_S26_L001_R2.trmdfilt	17389390.0	10034384.0
79074_ID2350_32-DL19_S27_L001_R1.trmdfilt	12404142.0	9765325.0
79074_ID2350_32-DL19_S27_L001_R2.trmdfilt	13048372.0	9121095.0
79075_ID2350_18-DL26_S28_L001_R1.trmdfilt	12187040.0	8235930.0
79075_ID2350_18-DL26_S28_L001_R2.trmdfilt	12404709.0	8018261.0
79076_ID2350_23-DL18_S29_L001_R1.trmdfilt	12580859.0	9318637.0
79076_ID2350_23-DL18_S29_L001_R2.trmdfilt	13419356.0	8480140.0
79077_ID2350_13-DL31_S30_L001_R1.trmdfilt	12774955.0	8955180.0
79077_ID2350_13-DL31_S30_L001_R2.trmdfilt	13685169.0	8044966.0
79078_ID2350_10-DL17_S31_L001_R1.trmdfilt	10735115.0	6963426.0
79078_ID2350_10-DL17_S31_L001_R2.trmdfilt	11275550.0	6422991.0
79079_ID2350_4-DL7_S32_L001_R1.trmdfilt	14423731.0	9975116.0
79079_ID2350_4-DL7_S32_L001_R2.trmdfilt	13708751.0	10690096.0
79080_ID2350_7-DL2_S33_L001_R1.trmdfilt	12820210.0	9425130.0
79080_ID2350_7-DL2_S33_L001_R2.trmdfilt	13440251.0	8805089.0
79081_ID2350_22-DC29_S34_L001_R1.trmdfilt	13487234.0	9041287.0
79081_ID2350_22-DC29_S34_L001_R2.trmdfilt	14353175.0	8175346.0
79082_ID2350_20-DC13_S35_L001_R1.trmdfilt	12619900.0	9584065.0
79082_ID2350_20-DC13_S35_L001_R2.trmdfilt	13362542.0	8841423.0
79083_ID2350_28-DC36_S36_L001_R1.trmdfilt	13213027.0	7473676.0
79083_ID2350_28-DC36_S36_L001_R2.trmdfilt	13900060.0	6786643.0
79084_ID2350_19-DC14_S37_L001_R1.trmdfilt	13191362.0	9715846.0
79084_ID2350_19-DC14_S37_L001_R2.trmdfilt	13672791.0	9234417.0
79085_ID2350_6-M19dl_S38_L001_R1.trmdfilt	10830763.0	7813476.0
79085_ID2350_6-M19dl_S38_L001_R2.trmdfilt	11453367.0	7190872.0
79086_ID2350_27-DL4_S39_L001_R1.trmdfilt	12730075.0	11766467.0
79086_ID2350_27-DL4_S39_L001_R2.trmdfilt	13187674.0	11308868.0
79531_ID2376_1-00175_S146_L004_R1.trmdfilt	21508269.0	8738478.0
79531_ID2376_1-00175_S146_L004_R2.trmdfilt	22211701.0	8035046.0
79532_ID2376_2-00177_S147_L004_R1.trmdfilt	19694745.0	7425545.0
79532_ID2376_2-00177_S147_L004_R2.trmdfilt	20328348.0	6791942.0
79533_ID2376_3-00184_S148_L004_R1.trmdfilt	20988682.0	8218582.0
79533_ID2376_3-00184_S148_L004_R2.trmdfilt	21623105.0	7584159.0
79534_ID2376_4-00187_S149_L004_R1.trmdfilt	18617277.0	7081738.0
79534_ID2376_4-00187_S149_L004_R2.trmdfilt	19444297.0	6254718.0
79535_ID2376_5-00194_S150_L004_R1.trmdfilt	18480483.0	6776667.0
79535_ID2376_5-00194_S150_L004_R2.trmdfilt	19230036.0	6027114.0
79536_ID2376_6-00242_S151_L004_R1.trmdfilt	23650132.0	9670358.0
79536_ID2376_6-00242_S151_L004_R2.trmdfilt	24429893.0	8890597.0
79537_ID2376_7-00254_S152_L004_R1.trmdfilt	20383525.0	7442144.0
79537_ID2376_7-00254_S152_L004_R2.trmdfilt	21087510.0	6738159.0
79538_ID2376_8-01124_S153_L004_R1.trmdfilt	22029285.0	8824898.0
79538_ID2376_8-01124_S153_L004_R2.trmdfilt	22859520.0	7994663.0
79539_ID2376_9-01139_S154_L004_R1.trmdfilt	25013640.0	10053026.0
79539_ID2376_9-01139_S154_L004_R2.trmdfilt	25813274.0	9253392.0
79540_ID2376_10-01173_S155_L004_R1.trmdfilt	15288455.0	5132633.0
79540_ID2376_10-01173_S155_L004_R2.trmdfilt	15833289.0	4587799.0
79541_ID2376_11-01174_S156_L004_R1.trmdfilt	20233438.0	7961899.0
79541_ID2376_11-01174_S156_L004_R2.trmdfilt	20846317.0	7349020.0
79542_ID2376_12-01175_S157_L004_R1.trmdfilt	17654862.0	6172932.0
79542_ID2376_12-01175_S157_L004_R2.trmdfilt	18363634.0	5464160.0
79543_ID2376_13-01179_S158_L004_R1.trmdfilt	21887864.0	8165647.0
79543_ID2376_13-01179_S158_L004_R2.trmdfilt	22409885.0	7643626.0
79544_ID2376_14-02710_S159_L004_R1.trmdfilt	24194892.0	9429998.0
79544_ID2376_14-02710_S159_L004_R2.trmdfilt	25013838.0	8611052.0
79545_ID2376_15-02812_S160_L004_R1.trmdfilt	19096995.0	6567399.0
79545_ID2376_15-02812_S160_L004_R2.trmdfilt	19715209.0	5949185.0
79546_ID2376_16-11412_S161_L004_R1.trmdfilt	24721212.0	9873721.0
79546_ID2376_16-11412_S161_L004_R2.trmdfilt	25576587.0	9018346.0
79547_ID2376_17-11513_S162_L004_R1.trmdfilt	21276654.0	8204090.0
79547_ID2376_17-11513_S162_L004_R2.trmdfilt	22019840.0	7460904.0
79548_ID2376_18-11515_S163_L004_R1.trmdfilt	21700370.0	8572898.0
79548_ID2376_18-11515_S163_L004_R2.trmdfilt	22602655.0	7670613.0
79549_ID2376_19-21010_S164_L004_R1.trmdfilt	14970988.0	4803025.0
79549_ID2376_19-21010_S164_L004_R2.trmdfilt	15410582.0	4363431.0
79550_ID2376_20-21315_S165_L004_R1.trmdfilt	24291745.0	9854893.0
79550_ID2376_20-21315_S165_L004_R2.trmdfilt	25108644.0	9037994.0
79551_ID2376_21-21511_S166_L004_R1.trmdfilt	18.0	2.0
79551_ID2376_21-21511_S166_L004_R2.trmdfilt	18.0	2.0
79552_ID2376_22-1204a_S167_L004_R1.trmdfilt	43824449.0	20863686.0
79552_ID2376_22-1204a_S167_L004_R2.trmdfilt	45843878.0	18844257.0
