54076_ID1725_1-B-6S_S19_L001_R1.trmdfilt	41771.0	41322.0	49887.0	46449.0	58363.0	53545.0	68002.0	65067.0	81800.0	85931.0	87751.0	93969.0	91228.0	97892.0	95884.0	110367.0	103375.0	125554.0	111945.0	185874.0	231984.0	205759.0	18087004.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54076_ID1725_1-B-6S_S19_L001_R2.trmdfilt	41457.0	41115.0	49599.0	46179.0	57968.0	53252.0	67572.0	64735.0	81336.0	85379.0	87188.0	93447.0	90800.0	97542.0	95665.0	109914.0	102696.0	125533.0	112342.0	186764.0	231599.0	210108.0	18088533.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54077_ID1725_3-B-10S_S20_L001_R1.trmdfilt	36008.0	34457.0	42147.0	38250.0	47206.0	42770.0	53657.0	51066.0	61836.0	63133.0	66479.0	67683.0	68240.0	73237.0	70832.0	80823.0	75665.0	92040.0	82823.0	137019.0	169191.0	154797.0	13860055.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54077_ID1725_3-B-10S_S20_L001_R2.trmdfilt	35609.0	34211.0	41763.0	37904.0	46714.0	42394.0	53094.0	50557.0	61240.0	62488.0	65766.0	67027.0	67616.0	72486.0	70314.0	79985.0	74782.0	91560.0	82372.0	136845.0	168058.0	157346.0	13869283.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54078_ID1725_4-B-11S_S21_L001_R1.trmdfilt	41582.0	39572.0	48795.0	45043.0	56321.0	51717.0	65796.0	63911.0	77876.0	80187.0	87526.0	90881.0	94431.0	102955.0	103143.0	119157.0	114741.0	140613.0	127626.0	204718.0	242462.0	233045.0	18089684.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54078_ID1725_4-B-11S_S21_L001_R2.trmdfilt	41302.0	39412.0	48525.0	44763.0	55941.0	51463.0	65370.0	63564.0	77325.0	79423.0	86972.0	90298.0	94125.0	102491.0	102977.0	118888.0	114025.0	140462.0	128094.0	205529.0	242202.0	237542.0	18091089.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54079_ID1725_5-B-20S_S22_L001_R1.trmdfilt	36533.0	35241.0	42939.0	39132.0	48419.0	43887.0	54849.0	52552.0	64930.0	66683.0	69708.0	71943.0	71616.0	76793.0	75246.0	85152.0	80889.0	97357.0	87480.0	148873.0	188847.0	167825.0	16233984.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
